"","vector_index","month_detected_july","st_grp","year_index","month_f","human_equine","indexP_lag1","pred","pred_lwr","pred_upr","year_grp"
"454",0.1371,1,"CT",17,"Aug",NA,1.0815213093878,0.471352786047174,0.147354624723059,1.50774669836111,"2019"
"455",0.1414,1,"CT",17,"Aug",NA,1.0815213093878,0.50689185801575,0.16091128855811,1.59677644760063,"2019"
"456",0.1457,1,"CT",17,"Aug",NA,1.0815213093878,0.54511050603389,0.175597340771074,1.69219797112937,"2019"
"457",0.15,1,"CT",17,"Aug",NA,1.0815213093878,0.586210764859614,0.191490218062449,1.79457240330274,"2019"
"458",0.1543,1,"CT",17,"Aug",NA,1.0815213093878,0.630409902273887,0.208670485893047,1.90451775287793,"2019"
"459",0.1586,1,"CT",17,"Aug",NA,1.0815213093878,0.677941567620556,0.227221711828633,2.02271501877622,"2019"
"460",0.1629,1,"CT",17,"Aug",NA,1.0815213093878,0.729057026943936,0.24723031430853,2.14991494883195,"2019"
"461",0.1672,1,"CT",17,"Aug",NA,1.0815213093878,0.784026491253336,0.26878538996566,2.28694550349463,"2019"
"462",0.1715,1,"CT",17,"Aug",NA,1.0815213093878,0.843140544936119,0.291978523858998,2.43472009214785,"2019"
"463",0.1758,1,"CT",17,"Aug",NA,1.0815213093878,0.906711681870291,0.316903588211605,2.5942466561505,"2019"
"464",0.1801,1,"CT",17,"Aug",NA,1.0815213093878,0.975075957356957,0.34365653640647,2.7666376800441,"2019"
"465",0.1844,1,"CT",17,"Aug",NA,1.0815213093878,1.04859476460523,0.372335199998858,2.95312122077328,"2019"
"466",0.1887,1,"CT",17,"Aug",NA,1.0815213093878,1.12765674516059,0.403039097274951,3.15505305441542,"2019"
"467",0.193,1,"CT",17,"Aug",NA,1.0815213093878,1.21267984337582,0.435869262344442,3.37393005099744,"2019"
"468",0.1973,1,"CT",17,"Aug",NA,1.0815213093878,1.30411351578496,0.470928103833868,3.61140490067881,"2019"
"469",0.2016,1,"CT",17,"Aug",NA,1.0815213093878,1.40244110705974,0.508319301903564,3.86930232907835,"2019"
"470",0.2059,1,"CT",17,"Aug",NA,1.0815213093878,1.50818240510841,0.548147751527772,4.1496369559829,"2019"
"471",0.2102,1,"CT",17,"Aug",NA,1.0815213093878,1.62189638882404,0.590519558771878,4.45463297024623,"2019"
"472",0.2145,1,"CT",17,"Aug",NA,1.0815213093878,1.74418418300761,0.635542095224898,4.78674581449621,"2019"
"473",0.2188,1,"CT",17,"Aug",NA,1.0815213093878,1.87569223608647,0.683324113884306,5.14868609643525,"2019"
"474",0.2231,1,"CT",17,"Aug",NA,1.0815213093878,2.01711573742651,0.733975927755703,5.54344596915438,"2019"
"475",0.2274,1,"CT",17,"Aug",NA,1.0815213093878,2.169202292303,0.787609650350453,5.97432825110619,"2019"
"476",0.2317,1,"CT",17,"Aug",NA,1.0815213093878,2.33275587395689,0.844339495273604,6.44497858733587,"2019"
"477",0.236,1,"CT",17,"Aug",NA,1.0815213093878,2.50864107362848,0.904282130317781,6.95942098743486,"2019"
"478",0.2403,1,"CT",17,"Aug",NA,1.0815213093878,2.69778767103522,0.96755708002141,7.52209711268774,"2019"
"479",0.2446,1,"CT",17,"Aug",NA,1.0815213093878,2.90119554945446,1.03428716958773,8.13790972533232,"2019"
"480",0.2489,1,"CT",17,"Aug",NA,1.0815213093878,3.11993998139393,1.10459900243524,8.81227075711667,"2019"
"481",0.2532,1,"CT",17,"Aug",NA,1.0815213093878,3.35517731279118,1.17862346346526,9.55115450287352,"2019"
"482",0.2575,1,"CT",17,"Aug",NA,1.0815213093878,3.6081510757906,1.25649624035843,10.3611564981803,"2019"
"483",0.2618,1,"CT",17,"Aug",NA,1.0815213093878,3.88019856241177,1.33835835579406,11.2495586989551,"2019"
"484",0.2661,1,"CT",17,"Aug",NA,1.0815213093878,4.17275789385934,1.4243567043471,12.2244016457569,"2019"
